ID,Title,Width,Height,Image URL,File Page URL
0,"Strawberry poison-dart frog, by Rhododendrites",2504,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Strawberry_poison_dart_frog_%2870539%29.jpg/500px-Strawberry_poison_dart_frog_%2870539%29.jpg,https://en.wikipedia.org/wiki/File:Strawberry_poison_dart_frog_(70539).jpg
1,"White-lipped tree frog, by Charlesjsharp",5221,3480,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/White-lipped_tree_frog_%28Nyctimystes_infrafrenatus%29_Daintree.jpg/450px-White-lipped_tree_frog_%28Nyctimystes_infrafrenatus%29_Daintree.jpg,https://en.wikipedia.org/wiki/File:White-lipped_tree_frog_(Nyctimystes_infrafrenatus)_Daintree.jpg
2,"Pristimantis elegans, by Charlesjsharp",4024,2936,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Pristimantis_elegans_Chingaza.jpg/411px-Pristimantis_elegans_Chingaza.jpg,https://en.wikipedia.org/wiki/File:Pristimantis_elegans_Chingaza.jpg
3,"Guttural toad, by Charlesjsharp",3962,2641,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/African_common_toad_%28Amietophrynus_gutturalis%29_swimming.jpg/500px-African_common_toad_%28Amietophrynus_gutturalis%29_swimming.jpg,https://en.wikipedia.org/wiki/File:African_common_toad_(Amietophrynus_gutturalis)_swimming.jpg
4,"Edible frog, by Charlesjsharp",3656,3656,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Green_frog_%28Pelophylax_esculentus_complex%29_Danube_delta.jpg/330px-Green_frog_%28Pelophylax_esculentus_complex%29_Danube_delta.jpg,https://en.wikipedia.org/wiki/File:Green_frog_(Pelophylax_esculentus_complex)_Danube_delta.jpg
5,"Pelophylax cypriensis, by Charlesjsharp",4451,2967,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Cyprus_water_frog_%28Pelophylax_cypriensis%29.jpg/450px-Cyprus_water_frog_%28Pelophylax_cypriensis%29.jpg,https://en.wikipedia.org/wiki/File:Cyprus_water_frog_(Pelophylax_cypriensis).jpg
6,"Glyphoglossus molossus, by Rushenb",8256,5504,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Glyphoglossus_molossus%2C_Blunt-headed_burrowing_frog_-_Mueang_Loei_District%2C_Loei_Province_%2847097003944%29.jpg/450px-Glyphoglossus_molossus%2C_Blunt-headed_burrowing_frog_-_Mueang_Loei_District%2C_Loei_Province_%2847097003944%29.jpg,"https://en.wikipedia.org/wiki/File:Glyphoglossus_molossus,_Blunt-headed_burrowing_frog_-_Mueang_Loei_District,_Loei_Province_(47097003944).jpg"
7,"Dyeing poison dart frog, by Llez",5136,3504,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Dendrobates_tinctorius_-_Karlsruhe_Zoo_05.jpg/440px-Dendrobates_tinctorius_-_Karlsruhe_Zoo_05.jpg,https://en.wikipedia.org/wiki/File:Dendrobates_tinctorius_-_Karlsruhe_Zoo_05.jpg
8,"Theloderma corticale, by Llez",3141,3644,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Theloderma_corticale_-_Karlsruhe_Zoo_01.jpg/259px-Theloderma_corticale_-_Karlsruhe_Zoo_01.jpg,https://en.wikipedia.org/wiki/File:Theloderma_corticale_-_Karlsruhe_Zoo_01.jpg
9,"Raorchestes parvulus, by Rushenb",7333,4889,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Raorchestes_parvulus_%28male%29.jpg/450px-Raorchestes_parvulus_%28male%29.jpg,https://en.wikipedia.org/wiki/File:Raorchestes_parvulus_(male).jpg
10,"Rhacophorus kio, by Rushenb",8256,5504,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Rhacophorus_kio.jpg/500px-Rhacophorus_kio.jpg,https://en.wikipedia.org/wiki/File:Rhacophorus_kio.jpg
11,"Wallace's flying frog, by Rushenb",6519,4351,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Rhacophorus_nigropalmatus.jpg/500px-Rhacophorus_nigropalmatus.jpg,https://en.wikipedia.org/wiki/File:Rhacophorus_nigropalmatus.jpg
12,"Marsh frog, by Charlesjsharp",3736,2491,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Marsh_frog_%28Pelophylax_ridibundus%29.jpg/500px-Marsh_frog_%28Pelophylax_ridibundus%29.jpg,https://en.wikipedia.org/wiki/File:Marsh_frog_(Pelophylax_ridibundus).jpg
13,"Blue-sided leaf frog, by Charlesjsharp",4332,2888,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Golden-eyed_tree_frog_%28Agalychnis_annae%29.jpg/500px-Golden-eyed_tree_frog_%28Agalychnis_annae%29.jpg,https://en.wikipedia.org/wiki/File:Golden-eyed_tree_frog_(Agalychnis_annae).jpg
14,"Mantella baroni, by Charlesjsharp",4302,2869,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Variegated_golden_frog_%28Mantella_baroni%29_Ranomafana.jpg/450px-Variegated_golden_frog_%28Mantella_baroni%29_Ranomafana.jpg,https://en.wikipedia.org/wiki/File:Variegated_golden_frog_(Mantella_baroni)_Ranomafana.jpg
15,"Agile frog, by PetarM",3792,3152,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Agile_frog_%28Rana_dalmatina%29.jpg/500px-Agile_frog_%28Rana_dalmatina%29.jpg,https://en.wikipedia.org/wiki/File:Agile_frog_(Rana_dalmatina).jpg
16,"Limosa harlequin frog, by Brian Gratwicke",3000,2111,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Atelopus_limosus_female_02.jpg/500px-Atelopus_limosus_female_02.jpg,https://en.wikipedia.org/wiki/File:Atelopus_limosus_female_02.jpg
